Results:
N  M  Alpha  Max_Iterations  Converged  Iterations_To_Converge  Delta_max  Delta_convergence  Random_seed    
101  30  0.297029702970297  1000  False  1000  -7  -101  42
101  30  0.297029702970297  1000  False  1000  -7  -101  42
101  30  0.297029702970297  1000  False  1000  -3  -101  47
101  30  0.297029702970297  1000  False  1000  -1  -101  52
101  30  0.297029702970297  1000  False  1000  -1  -101  57
101  30  0.297029702970297  1000  False  1000  1  -101  62
101  30  0.297029702970297  1000  False  1000  -5  -101  67
101  30  0.297029702970297  1000  False  1000  -15  -101  72
101  30  0.297029702970297  1000  False  1000  -3  -101  77
101  30  0.297029702970297  1000  False  1000  3  -101  82
101  30  0.297029702970297  1000  False  1000  -5  -101  87
101  30  0.297029702970297  1000  False  1000  3  -101  92
101  30  0.297029702970297  1000  False  1000  7  -101  97
101  30  0.297029702970297  1000  False  1000  5  -101  102
101  30  0.297029702970297  1000  False  1000  -7  -101  107
101  30  0.297029702970297  1000  False  1000  7  -101  112
101  30  0.297029702970297  1000  False  1000  -7  -101  117
101  30  0.297029702970297  1000  False  1000  -9  -101  122
101  30  0.297029702970297  1000  False  1000  9  -101  127
101  30  0.297029702970297  1000  False  1000  7  -101  132
101  30  0.297029702970297  1000  False  1000  -1  -101  137
101  30  0.297029702970297  1000  False  1000  7  -101  142
101  30  0.297029702970297  1000  False  1000  -5  -101  147
101  30  0.297029702970297  1000  False  1000  5  -101  152
101  30  0.297029702970297  1000  False  1000  -1  -101  157
101  30  0.297029702970297  1000  False  1000  -11  -101  162
101  30  0.297029702970297  1000  False  1000  -5  -101  167
101  30  0.297029702970297  1000  False  1000  7  -101  172
101  30  0.297029702970297  1000  False  1000  -15  -101  177
101  30  0.297029702970297  1000  False  1000  7  -101  182
101  30  0.297029702970297  1000  False  1000  7  -101  187
101  30  0.297029702970297  1000  False  1000  -11  -101  192
101  30  0.297029702970297  1000  False  1000  -13  -101  197
101  30  0.297029702970297  1000  False  1000  9  -101  202
101  30  0.297029702970297  1000  False  1000  -3  -101  207
101  30  0.297029702970297  1000  False  1000  3  -101  212
101  30  0.297029702970297  1000  False  1000  -1  -101  217
101  30  0.297029702970297  1000  False  1000  -3  -101  222
101  30  0.297029702970297  1000  False  1000  -3  -101  227
101  30  0.297029702970297  1000  False  1000  7  -101  232
101  30  0.297029702970297  1000  False  1000  -3  -101  237
101  30  0.297029702970297  1000  False  1000  -13  -101  242
101  30  0.297029702970297  1000  False  1000  -3  -101  247
101  30  0.297029702970297  1000  False  1000  -5  -101  252
101  30  0.297029702970297  1000  False  1000  1  -101  257
101  30  0.297029702970297  1000  False  1000  7  -101  262
101  30  0.297029702970297  1000  False  1000  7  -101  267
101  30  0.297029702970297  1000  False  1000  -5  -101  272
101  30  0.297029702970297  1000  False  1000  -9  -101  277
101  30  0.297029702970297  1000  False  1000  -9  -101  282
101  30  0.297029702970297  1000  False  1000  -3  -101  287
101  30  0.297029702970297  1000  False  1000  -9  -101  292
101  30  0.297029702970297  1000  False  1000  1  -101  297
101  30  0.297029702970297  1000  False  1000  -17  -101  302
101  30  0.297029702970297  1000  False  1000  1  -101  307
101  30  0.297029702970297  1000  False  1000  1  -101  312
101  30  0.297029702970297  1000  False  1000  -5  -101  317
101  30  0.297029702970297  1000  False  1000  -17  -101  322
101  30  0.297029702970297  1000  False  1000  7  -101  327
101  30  0.297029702970297  1000  False  1000  -7  -101  332
101  30  0.297029702970297  1000  False  1000  5  -101  337
101  30  0.297029702970297  1000  False  1000  -9  -101  342
101  30  0.297029702970297  1000  False  1000  -1  -101  347
101  30  0.297029702970297  1000  False  1000  -9  -101  352
101  30  0.297029702970297  1000  False  1000  9  -101  357
101  30  0.297029702970297  1000  False  1000  -5  -101  362
101  30  0.297029702970297  1000  False  1000  9  -101  367
101  30  0.297029702970297  1000  False  1000  -1  -101  372
101  30  0.297029702970297  1000  False  1000  1  -101  377
101  30  0.297029702970297  1000  False  1000  -7  -101  382
101  30  0.297029702970297  1000  False  1000  -3  -101  387
101  30  0.297029702970297  1000  False  1000  -11  -101  392
101  30  0.297029702970297  1000  False  1000  -15  -101  397
101  30  0.297029702970297  1000  False  1000  -3  -101  402
101  30  0.297029702970297  1000  False  1000  1  -101  407
101  30  0.297029702970297  1000  False  1000  9  -101  412
101  30  0.297029702970297  1000  False  1000  9  -101  417
101  30  0.297029702970297  1000  False  1000  7  -101  422
101  30  0.297029702970297  1000  False  1000  3  -101  427
101  30  0.297029702970297  1000  False  1000  -9  -101  432
101  30  0.297029702970297  1000  False  1000  5  -101  437
101  30  0.297029702970297  1000  False  1000  -3  -101  442
101  30  0.297029702970297  1000  False  1000  -15  -101  447
101  30  0.297029702970297  1000  False  1000  7  -101  452
101  30  0.297029702970297  1000  False  1000  -1  -101  457
101  30  0.297029702970297  1000  False  1000  -7  -101  462
101  30  0.297029702970297  1000  False  1000  -7  -101  467
101  30  0.297029702970297  1000  False  1000  -7  -101  472
101  30  0.297029702970297  1000  False  1000  -9  -101  477
101  30  0.297029702970297  1000  False  1000  -7  -101  482
101  30  0.297029702970297  1000  False  1000  -9  -101  487
